pwd,Print working directory,1
ls,List files and directories in current working directory,1
cd,Change current working directory,1
mkdir,Create a directory,1
rmdir,Delete a directory,1
rm,Delete a file,1
cp,Copy,1
mv,Move a file,1
ssh,Connect to a remote machine,2
scp,Copy files over SSH,2
man,Show command manual page,2
g++,Compile C++ programs,2
gcc,Compile C programs,2
make,Build programs using Makefile,2
ps,Show running processes,2
kill,Terminate a process,2
top,Display active processes,2
who,Show logged-in users,3
chmod,Change file permissions,3
cat,Display file contents,3
alias,Create command shortcut,3
chown,Change file owner,3
df,Show disk space,3
grep,Search text by pattern,3
echo,Print text to screen,2
find,Search for files,4
clear,Clear the terminal,1
diff,Compare two files,2
env,List environment variables,4
free,Show memory usage,3
